Categoria,Fundo,Fundo_norm,Data Inicio,Cota (R$),Variacao Dia (%),Acum. Mes (%),Acum. Ano (%),Acum. 12M (%),PL (milhoes R$),Perfil,Data Base Consulta,Data Rentabilidade Ref,Fallback Rentabilidade,Dias Úteis Fallback,Alerta Rentabilidade Defasada,Perfis,URL,CNPJ,codfundo,Perfil de Risco,Taxa Adm (%),Aplicacao Minima (R$),Aplicacao Adicional Minima (R$),Resgate Minimo (R$),Saldo Minimo (R$),Conversao Aplicacao,Conversao Resgate,Pagamento Resgate,Benchmark Oficial,Estratégia,Status de Captação,Classificação Tributária,Classificação Investidor,Horário Limite Aplicação,Horário Limite Resgate,Adiantamento de Resgate,Modalidade Adiantamento,Percentual Adiantamento (%),Público Alvo,Segmentos,Movimentação Automática,Carência,Fim Carência,ASG,Razão Social,Observação Operacional,doc_lamina,doc_regulamento,doc_inf_comp,doc_comunicado,doc_carta,doc_boletim,doc_termo,doc_sumario,doc_raio_x
RENDA FIXA SIMPLES,CAIXA FIF E-SIMPLES RENDA FIXA LP RESP LTDA,CAIXA FIF E-SIMPLES RENDA FIXA LP RESP LTDA,15/10/2015,"2,31150100","0,045","0,45","7,57","12,72","402,894",PF,14/08/2026,14/08/2026,Não,0,Não,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fi-renda-fixa-simples-lp/,22.791.329/0001-50,5980,Conservador,1.5,0.01,0.01,0.01,0.02,D+0 (du),D+0 (du),D+00 (du),SELIC,RF Simples até 49% Crédito Privado,Aberto para captação,LONGO PRAZO,GERAL,17:00,17h00,Não se aplica,NÃO SE APLICA,,"[""Institucional"", ""Pessoa Física"", ""PJ Atacado"", ""PJ Varejo"", ""Private""]","[""Institucional"", ""Pessoa Física"", ""PJ Atacado"", ""PJ Varejo"", ""Private""]",Sim,Não,,Não,CAIXA E-SIMPLES FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO - RESPONSABILIDADE LIMITADA,"Fundo com movimentação exclusiva pelo IBC/APP.

Movimentações: O FUNDO oferece mecanismo resgate automático.

Para ativar a funcionalidade de Resgate Automático, acessar o SIART -> Movimentação Automática -> Marcar

As regras da funcionalidade de Movimentação Automática estão descritas no MN TE099.

**Esse fundo não possui adiantamento de resgate, os resgates efetuados ficarão disponíveis no processamento noturno.",https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_5980.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_5980.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_5980.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/COM_5980.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_5980.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-laminas-comerciais/LAC_5980.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-termos-adesao/TA_5980.pdf,,
RENDA FIXA SIMPLES,CAIXA FIC FIF FÁCIL RF SIMPLES RESP LTDA,CAIXA FIC FIF FACIL RF SIMPLES RESP LTDA,24/02/2003,"5,61544100","0,044","0,44","7,42","12,48","6.699,823",PF,14/08/2026,14/08/2026,Não,0,Não,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/fundo-simples/fic-facil-rf-simples,05.114.716/0001-33,88,Conservador,1.7,0.01,0.01,0.01,0.02,D+0 (du),D+0 (du),D+00 (du),SELIC,RF Simples 100% TPF,Aberto para captação,CURTO PRAZO,GERAL,18:00,18h00,Não se aplica,NÃO SE APLICA,,"[""Institucional"", ""Pessoa Física"", ""PJ Atacado"", ""PJ Varejo"", ""Private""]","[""Institucional"", ""Pessoa Física"", ""PJ Atacado"", ""PJ Varejo"", ""Private""]",Sim,Não,,Não,CAIXA FÁCIL FUNDO DE INVESTIMENTO EM COTAS DE CLASSE DE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA SIMPLES - RESPONSABILIDADE LIMITADA,"Movimentação exclusiva pela plataforma e/ou IBC/APP.

Movimentações: O FUNDO oferece mecanismo resgate automático.

Para ativar a funcionalidade de Resgate Automático, acessar o SIART -> Movimentação Automática -> Marcar

As regras da funcionalidade de Movimentação Automática estão descritas no MN TE099.

**Esse fundo não possui adiantamento de resgate, os resgates efetuados ficarão disponíveis no processamento noturno.",https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_0088.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_0088.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_0088.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/COM_88.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_88.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-laminas-comerciais/LAC_88.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-termos-adesao/TA_0088.pdf,,
RENDA FIXA SIMPLES,CAIXA FIC FIF MOVIMENTAÇÕES AUTOMÁTICAS RF SIMPLES RESP LTDA,CAIXA FIC FIF MOVIMENTACOES AUTOMATICAS RF SIMPLES RESP LTDA,13/07/2012,"2,83532300","0,044","0,44","7,41","12,47","777,496",PF,14/08/2026,14/08/2026,Não,0,Não,PF | PJ,https://www.caixa.gov.br/fundos-investimento/fundo-simples/fic-movimentacoes-automaticas-rf-simples/Paginas/default.aspx,14.508.652/0001-46,5823,Conservador,1.7,10.0,0.01,0.01,0.01,D+0 (du),D+0 (du),D+00 (du),CDI,RF Simples 100% TPF,Aberto para captação,CURTO PRAZO,GERAL,18:00,18h00,Não se aplica,NÃO SE APLICA,,"[""Pessoa Física"", ""PJ Varejo"", ""Private""]","[""Pessoa Física"", ""PJ Varejo"", ""Private""]",Sim,Não,,Não,CAIXA MOVIMENTAÇÕES AUTOMÁTICAS FUNDO DE INVESTIMENTO EM COTAS DE CLASSE DE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA SIMPLES - RESP LIMITADA,"OBS: O Fundo possui a funcionalidade de Aplicação e Resgate Automáticos em caso de adesão pelo cotista, o gerente deverá proceder à contratação no SIART. Para ativar a funcionalidade de Aplicação e Resgate Automáticos, acessar o SIART -> Movimentação Automática -> Marcar

As regras da funcionalidade de Movimentação Automática estão descritas no MN TE099. O Fundo não possui adiantamento de resgate, os resgates efetuados ficarão disponíveis no processamento noturno.

FUNDO NÃO PONTUA NO RESULTADO.CAIXA

Este Fundo não está adaptado às normas vigentes para RPPS (Regimes Próprios de Previdência Social).",https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_5823.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_5823.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_5823.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/COM_5823.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_5823.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-laminas-comerciais/LAC_5823.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-termos-adesao/TA_5823.pdf,,
RENDA FIXA,CAIXA FIC FIF RELACIONAMENTO PERSONAL RF LP RESP LTDA,CAIXA FIC FIF RELACIONAMENTO PERSONAL RF LP RESP LTDA,16/04/2012,"3,57202500","0,052","0,52","8,46","14,21","122,281",PF,14/08/2026,14/08/2026,Não,0,Não,PF | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-relacionamento-personal-rf-longo-prazo,10.577.509/0001-55,5565,Moderado,0.7,0.01,0.01,0.01,0.01,D+0 (du),D+0 (du),D+00 (du),CDI,RF até 49% Crédito Privado,Aberto para captação,LONGO PRAZO,GERAL,17:00,17h00,Sim · Automatico · 90%,AUTOMATICO,90.0,"[""Pessoa Física"", ""Private""]","[""Pessoa Física"", ""Private""]",Não,Não,,Não,CAIXA RELACIONAMENTO PERSONAL FUNDO DE INVESTIMENTO EM COTAS DE CLASSE DE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO - RESP LIMITADA,"Destinado à Pessoas Físicas que possuam conta-salário na CAIXA, inclusive empregados da CAIXA. Este Fundo não está adaptado às normas vigentes para RPPS (Regimes Próprios de Previdência Social).

Fundo disponível para aplicação somente via conta corrente marcada como conta-salário (CS), ou conta-salário empregado CAIXA. 

Caso ocorra desmarcação da conta, o cotista não poderá realizar novas aplicações no fundo, no entanto as condições do produto permanecem válidas enquanto houver recursos aplicados. 

As regras para marcação e desmarcação da conta estão no CO020.",https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_5565.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_5565.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_5565.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/FR_5565.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_5565.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-laminas-comerciais/LAC_5565.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-termos-adesao/TA_5565.pdf,,
RENDA FIXA,CAIXA FIC FIF EXCLUSIVO FUNC RF CREDITO PRIVADO LP RESP LTDA,CAIXA FIC FIF EXCLUSIVO FUNC RF CREDITO PRIVADO LP RESP LTDA,20/10/2014,"3,07271300","0,053","0,54","8,72","14,69","1.700,971",PF,14/08/2026,14/08/2026,Não,0,Não,PF,,15.154.319/0001-49,5972,Moderado,0.4,0.01,0.01,0.01,0.01,D+0 (du),D+0 (du),D+00 (du),CDI,RF Crédito Privado permite Risco Mercado,Aberto para captação,LONGO PRAZO,GERAL,17:00,17h00,Sim · Automatico · 90%,AUTOMATICO,90.0,"[""Pessoa Física"", ""Private""]","[""Pessoa Física"", ""Private""]",Não,Não,,Não,CAIXA EXCLUSIVO FUNCIONÁRIOS FUNDO DE INVESTIMENTO EM COTAS DE CLASSE DE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO - RES,Fundo destinado a Funcionários e aposentados da Caixa Econômica Federal. Disponível para aplicação somente via conta corrente marcada como conta-salário empregado CAIXA.,https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_5972.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_5972.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_5972.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/COM_5972.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_5972.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-laminas-comerciais/LAC_5972.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-termos-adesao/TA_5972.pdf,,
RENDA FIXA,CAIXA MASTER PLUS FIF RF CRED PRIV LP RESP LTDA,CAIXA MASTER PLUS FIF RF CRED PRIV LP RESP LTDA,21/01/2021,"1.883,03083700","0,052","0,54","8,66","14,55","96,874",PF,14/08/2026,14/08/2026,Não,0,Não,PF | PJ,https://www.caixa.gov.br/fundos-investimento/renda-fixa/caixa-fic-plus-rf-credito-privado-lp/Paginas/default.aspx,40.194.309/0001-84,6532,Moderado,0.7,0.01,0.01,0.01,0.01,D+1 (du),D+14 (du),D+15 (du),CDI,RF Crédito Privado permite Risco Mercado,Aberto para captação,LONGO PRAZO,GERAL,17:00,17h00,Sim · Automatico · 100%,AUTOMATICO,100.0,"[""Institucional"", ""Pessoa Física"", ""PJ Atacado"", ""PJ Varejo"", ""Private""]","[""Institucional"", ""Pessoa Física"", ""PJ Atacado"", ""PJ Varejo"", ""Private""]",Não,Não,,Não,CAIXA PLUS FUNDO DE INVESTIMENTO EM COTAS DE CLASSE DE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO - RESP LIMITADA,,https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_6532.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_6532.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_6532.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/COM_6532.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_6532.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-laminas-comerciais/LAC_6532.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-termos-adesao/TA_6532.pdf,,
RENDA FIXA,CAIXA FOF Smart Debentures Incentivadas CDI RF Cred Priv LP - RL,CAIXA FOF SMART DEBENTURES INCENTIVADAS CDI RF CRED PRIV LP - RL,31/07/2026,-,-,-,-,-,-,PF,14/08/2026,14/08/2026,Não,0,Não,PF,https://www.caixa.gov.br/fundos-investimento/renda-fixa/debentures-incentivadas/caixa-smart-infraestrutura-debincentivadas-,67.702.501/0001-90,8503,Moderado,0.6,0.01,0.01,0.01,0.01,D+1 (du),D+22 (du),D+24 (du),CDI,RF Crédito Privado permite Risco Mercado,Fechado para captação,ISENTO,GERAL,17:00,17h00,Não se aplica,NÃO SE APLICA,,"[""Pessoa Física""]","[""Pessoa Física""]",Não,Não,,Não,SUBCLASSE VAREJO DA CAIXA FOF SMART DEBÊNTURES INCENTIVADAS CDI CIC DE CLASSE DE FIF INCENTIVADO EM INFRAESTRUTURA RF CRÉD PRIV LP - RESP LIMITADA,,https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_8503.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_8503.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_8503.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/COM_8503.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_8503.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-laminas-comerciais/LAC_8503.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-termos-adesao/TA_8503.pdf,,
RENDA FIXA,CAIXA FIC FIF E-FUNDO RF LP RESP LTDA,CAIXA FIC FIF E-FUNDO RF LP RESP LTDA,05/10/2012,"3,43736900","0,053","0,52","8,41","14,12","64,454",PF,14/08/2026,14/08/2026,Não,0,Não,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/e-fundos/renda-fixa-longo-prazo,15.154.422/0001-99,5834,Moderado,0.7,0.01,0.01,0.01,0.01,D+0 (du),D+0 (du),D+00 (du),CDI,RF até 49% Crédito Privado,Aberto para captação,LONGO PRAZO,GERAL,,17h00,Sim · Automatico · 90%,AUTOMATICO,90.0,"[""Pessoa Física"", ""PJ Varejo"", ""Private""]","[""Pessoa Física"", ""PJ Varejo"", ""Private""]",Não,Não,,Não,CAIXA E-FUNDO FUNDO DE INVESTIMENTO EM COTAS DE CLASSE DE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO - RESPONSABILIDADE LIMITADA,Este Fundo não está adaptado às normas vigentes para RPPS (Regimes Próprios de Previdência Social).As movimentações neste Fundo são realizadas exclusivamente pelo Internet Banking.,https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_5834.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_5834.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_5834.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/FR_5834.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_5834.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-laminas-comerciais/LAC_5834.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-termos-adesao/TA_5834.pdf,,
RENDA FIXA,CAIXA FIC FIF IDEAL RF LP RESP LTDA,CAIXA FIC FIF IDEAL RF LP RESP LTDA,28/10/1992,"9,92508200","0,050","0,49","7,89","13,24","587,474",PF,14/08/2026,14/08/2026,Não,0,Não,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-ideal-rf-longo-prazo,68.623.479/0001-56,59,Moderado,1.5,0.01,0.01,0.01,0.01,D+0 (du),D+0 (du),D+00 (du),CDI,RF até 49% Crédito Privado,Aberto para captação,LONGO PRAZO,GERAL,17:00,17h00,Sim · Automatico · 95%,AUTOMATICO,95.0,"[""Pessoa Física"", ""Private""]","[""Pessoa Física"", ""Private""]",Não,Não,,Não,CAIXA IDEAL FUNDO DE INVESTIMENTO EM COTAS DE CLASSE DE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO - RESPONSABILIDADE LIMITADA,"Este Fundo não está adaptado às normas vigentes para RPPS (Regimes Próprios de Previdência Social).Fundoaberto para novas aplicações a partir de 30/06/2021, para maiores informações consulte o Fato Relevante",https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_0059.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_0059.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_0059.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/FR_0059.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_59.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-laminas-comerciais/LAC_59.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-termos-adesao/TA_0059.pdf,,
RENDA FIXA,CAIXA FIC FIF GERAÇÃO JOVEM CRED PRIV RF LP RESP LTDA,CAIXA FIC FIF GERACAO JOVEM CRED PRIV RF LP RESP LTDA,26/04/2012,"3,41254800","0,050","0,52","8,30","13,96","12,187",PF,14/08/2026,14/08/2026,Não,0,Não,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-geracao-jovem-rf-credito-privado-longo-prazo,10.577.485/0001-34,5570,Moderado,1.0,0.01,0.01,0.01,0.01,D+0 (du),D+0 (du),D+00 (du),CDI,RF Crédito Privado sem Risco Mercado,Aberto para captação,LONGO PRAZO,GERAL,17:00,17h00,Sim · Automatico · 85%,AUTOMATICO,85.0,"[""Pessoa Física""]","[""Pessoa Física""]",Não,Não,,Não,CAIXA GERAÇÃO JOVEM FUNDO DE INVESTIMENTO EM COTAS DE CLASSE DE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO LP - RESP LIMITADA,Este Fundo não está adaptado às normas vigentes para RPPS (Regimes Próprios de Previdência Social).,https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_5570.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_5570.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_5570.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/COM_5570.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_5570.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-laminas-comerciais/LAC_5570.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-termos-adesao/TA_5570.pdf,,
